Object_ID,Area,Centroid_X,Centroid_Y,Aspect_Ratio,Average_Color,Label
0,12.0,1357,1362,0.8,[13.1846136  53.98857672 91.91496251],Matched Object
1,65.5,1354,1331,1.6666666666666667,[13.1846136  53.98857672 91.91496251],Matched Object
2,17.5,898,1297,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
3,12.5,961,1281,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
4,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
5,0.0,0,0,3.0,[13.1846136  53.98857672 91.91496251],Matched Object
6,3.5,1070,1275,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
7,0.0,0,0,3.0,[13.1846136  53.98857672 91.91496251],Matched Object
8,53.0,1017,1269,0.5714285714285714,[13.1846136  53.98857672 91.91496251],Matched Object
9,174.0,973,1269,0.7,[13.1846136  53.98857672 91.91496251],Matched Object
10,89.0,1028,1264,1.4166666666666667,[13.1846136  53.98857672 91.91496251],Matched Object
11,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
12,18.0,405,1258,0.875,[13.1846136  53.98857672 91.91496251],Matched Object
13,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
14,15.5,386,1254,1.1428571428571428,[13.1846136  53.98857672 91.91496251],Matched Object
15,0.5,378,1250,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
16,13.0,942,1255,0.14285714285714285,[13.1846136  53.98857672 91.91496251],Matched Object
17,44.5,929,1255,0.25,[13.1846136  53.98857672 91.91496251],Matched Object
18,0.0,0,0,3.0,[13.1846136  53.98857672 91.91496251],Matched Object
19,3.5,1091,1247,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
20,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
21,2.5,1056,1246,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
22,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
23,3.0,373,1245,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
24,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
25,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
26,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
27,8.0,381,1238,1.2,[13.1846136  53.98857672 91.91496251],Matched Object
28,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
29,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
30,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
31,47.0,1071,1234,2.3333333333333335,[13.1846136  53.98857672 91.91496251],Matched Object
32,312.0,959,1251,0.5454545454545454,[13.1846136  53.98857672 91.91496251],Matched Object
33,66.5,412,1245,0.6296296296296297,[13.1846136  53.98857672 91.91496251],Matched Object
34,0.0,0,0,0.5,[13.1846136  53.98857672 91.91496251],Matched Object
35,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
36,16.0,1026,1228,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
37,15.0,413,1227,0.75,[13.1846136  53.98857672 91.91496251],Matched Object
38,0.0,0,0,2.0,[13.1846136  53.98857672 91.91496251],Matched Object
39,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
40,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
41,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
42,0.0,0,0,0.3333333333333333,[13.1846136  53.98857672 91.91496251],Matched Object
43,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
44,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
45,35.5,1053,1215,0.5833333333333334,[13.1846136  53.98857672 91.91496251],Matched Object
46,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
47,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
48,0.0,0,0,1.0,[13.1846136  53.98857672 91.91496251],Matched Object
49,99.0,394,1217,1.4,[13.1846136  53.98857672 91.91496251],Matched Object
50,6.0,977,1197,0.8,[13.1846136  53.98857672 91.91496251],Matched Object
